workload,page_size,mem_fraction,policy,output_throughput,request_throughput,median_ttft_ms,p99_ttft_ms,median_itl_ms,p99_itl_ms,block_hit_rate,block_miss_rate,compulsory_misses,compulsory_miss_rate,matched_blocks,missed_blocks,transfer_proxy_bytes,baseline_mem_fraction,throughput_delta_vs_baseline,throughput_pct_gain_vs_baseline,median_ttft_delta_vs_baseline,median_ttft_pct_change_vs_baseline,median_itl_delta_vs_baseline,median_itl_pct_change_vs_baseline,reuse_miss_gap_to_compulsory
near_real,32,0.2,lru,627.8295740032469,2.253061160491634,37604.46626949124,44064.01328006759,6.479920819401741,44.40537939779456,0.34096971598933,0.65903028401067,27553,0.2543173867695517,36941,71400,299473305600,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4047128972411183
near_real,32,0.24,lru,1247.9807325964389,4.478567168676242,13916.014793561772,17609.666046593335,7.825568318367004,151.6107825562357,0.3551365373350813,0.6448634626649187,27550,0.2561527804896191,38196,69357,290904342528,0.2,620.151158593192,98.77699048786523,-23688.45147592947,-62.993718102969254,1.3456474989652634,20.766418857098014,0.3887106821752996
near_real,32,0.28,lru,1463.963552354599,5.253654107362023,9423.61646075733,11225.514758867212,8.850253652781248,206.23837475664925,0.381835375781151,0.618164624218849,27549,0.26857945073264894,39166,63407,265948233728,0.2,836.1339783513521,133.17849508424527,-28180.84980873391,-74.94016696521292,2.370332833379507,36.57965736683721,0.34958517348620005
near_real,32,0.32,lru,1560.5057645517436,5.600110403236043,7163.203754695132,8577.9583619209,9.990088874474168,276.87920934520685,0.3894559664543817,0.6105440335456183,27549,0.2711702577933519,39566,62027,260160094208,0.2,932.6761905484967,148.55563184152797,-30441.262514796108,-80.95118887378894,3.510168055072427,54.16992202377718,0.33937377575226635
optimistic,32,0.2,lru,108.57940682169796,5.30666822190811,15440.9881120082,18772.149192076176,6.486617727205157,243.35471400991082,0.4224841341795104,0.5775158658204895,9968,0.06455122393472348,65240,89180,374048030720,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.5129646418857661
optimistic,32,0.24,lru,171.87632366996743,8.400217422587183,7665.6952577177435,10633.055658475496,8.593134116381407,1008.4278186783175,0.6157521408357529,0.38424785916424714,9968,0.07326987393877026,83770,52275,219257241600,0.2,63.296916848269476,58.29550805357737,-7775.292854290456,-50.35489178470217,2.1065163891762495,32.47480393890684,0.31097798522547687
optimistic,32,0.28,lru,249.88574148738144,12.212819744324102,3501.292876433581,5062.453989451751,10.191900888457894,1170.6525031942874,0.7475336466738318,0.25246635332616824,9968,0.07994995107396653,93201,31477,132024107008,0.2,141.3063346656835,130.1410081358499,-11939.695235574618,-77.32468381534026,3.705283161252737,57.12195965722812,0.17251640225220172
optimistic,32,0.32,lru,310.01541530980586,15.151574325946983,559.972932562232,2481.791114178486,12.69216206856072,1623.0586431967095,0.8532399299474606,0.1467600700525394,9968,0.08728546409807356,97440,16760,70296535040,0.2,201.43600848810792,185.51953301687587,-14881.015179445967,-96.3734643890649,6.205544341355562,95.66687297340243,0.05947460595446585
