workload,page_size,capacity_blocks,capacity_label,compulsory_misses,compulsory_miss_rate,policy,output_throughput,request_throughput,median_ttft_ms,p99_ttft_ms,median_itl_ms,p99_itl_ms,block_hit_rate,block_miss_rate,matched_blocks,missed_blocks,transfer_proxy_bytes
optimistic,16,500,cap_500,7704,0.015124803185161045,compulsory,,,,,,,,0.015124803185161045,,7704,
optimistic,16,500,cap_500,7704,0.015124803185161045,lru,85.06705249902211,3.979745146153081,23921.850863000145,24238.8274083109,6.210509003722109,7.157259597443044,0.28067268465256534,0.7193273153474347,142964,366398,768392298496
optimistic,16,500,cap_500,7704,0.015124803185161045,opt,85.1048414475371,3.9815130501771745,23918.337202994735,24208.51887514451,6.190286003402434,7.147046001045969,0.28067268465256534,0.7193273153474347,142964,366398,768392298496
optimistic,16,1000,cap_1000,7706,0.020401409513421353,compulsory,,,,,,,,0.020401409513421353,,7706,
optimistic,16,1000,cap_1000,7706,0.020401409513421353,lru,126.38569846438385,5.9127812147080165,15626.971121499082,16916.36271587762,6.449614491430111,125.75252166381686,0.43524418946359594,0.564755810536404,164400,213319,447362367488
optimistic,16,1000,cap_1000,7706,0.020401409513421353,opt,126.41777860602474,5.914282040047941,15556.537029995525,16832.371612531715,6.445268998504616,125.23968687484738,0.43754964362496424,0.5624503563750357,165259,212433,445504290816
optimistic,16,1500,cap_1500,7704,0.022674562343273565,compulsory,,,,,,,,0.022674562343273565,,7704,
optimistic,16,1500,cap_1500,7704,0.022674562343273565,lru,172.1009333673129,8.05150565461113,11028.520797997771,12090.340190610443,6.743769001332112,243.33681089410675,0.5154430722501501,0.4845569277498499,175129,164635,345264619520
optimistic,16,1500,cap_1500,7704,0.022674562343273565,opt,171.8023226666564,8.037535563352346,11008.764325000811,12159.896710852192,6.7405980080366135,241.77762650127988,0.5168588874810008,0.48314111251899916,175808,164339,344643862528
optimistic,16,2000,cap_2000,7704,0.02352086316438653,compulsory,,,,,,,,0.02352086316438653,,7704,
optimistic,16,2000,cap_2000,7704,0.02352086316438653,lru,200.37968034599365,9.374487969403212,8769.604717002949,10325.722885654977,6.950889997824561,289.55006519812645,0.571809769218322,0.4281902307816779,187290,140249,294123470848
optimistic,16,2000,cap_2000,7704,0.02352086316438653,opt,201.23542616605246,9.414522861569706,8593.821839996963,10676.77864901678,6.940054998267442,301.06404416321317,0.5788853979008983,0.4211146020991017,188301,136981,287269978112
optimistic,16,2500,cap_2500,7704,0.024750216853535515,compulsory,,,,,,,,0.024750216853535515,,7704,
optimistic,16,2500,cap_2500,7704,0.024750216853535515,lru,258.9851457622309,12.116264129227178,3747.584327495133,6567.492885274405,7.294993993127719,365.5035023088567,0.6503035949497221,0.3496964050502779,202420,108850,228274995200
optimistic,16,2500,cap_2500,7704,0.024750216853535515,opt,261.2867094490903,12.223939623349255,3669.9405144972843,6205.999816758268,7.310379995033145,325.8034829996177,0.6595860654283677,0.3404139345716322,204504,105545,221343907840
optimistic,16,3000,cap_3000,7704,0.025458763346518754,compulsory,,,,,,,,0.025458763346518754,,7704,
optimistic,16,3000,cap_3000,7704,0.025458763346518754,lru,289.2692764672453,13.533065565719076,2797.6545069905114,3997.660146356939,7.606541497807484,395.1402845431585,0.6971120958867442,0.30288790411325583,210951,91656,192216563712
optimistic,16,3000,cap_3000,7704,0.025458763346518754,opt,312.4746728794057,14.618698146404945,1266.8328920044587,2071.2482948692927,7.6163565026945435,357.7302743017208,0.7044415136184983,0.2955584863815017,214718,90088,188928229376
optimistic,16,3500,cap_3500,7704,0.029517128286864803,compulsory,,,,,,,,0.029517128286864803,,7704,
optimistic,16,3500,cap_3500,7704,0.029517128286864803,lru,324.895370584919,15.199783419177498,135.64088299608557,1093.068727529899,7.4587629933375865,174.41365619233696,0.853479488584335,0.14652051141566508,222759,38242,80199286784
optimistic,16,3500,cap_3500,7704,0.029517128286864803,opt,324.60480062349495,15.186189502853566,36.81340150797041,1105.2667533133356,7.080786999722477,141.431516501907,0.906658018886135,0.09334198111386502,234848,24178,50704941056
optimistic,16,4000,cap_4000,7704,0.02994112046015429,compulsory,,,,,,,,0.02994112046015429,,7704,
optimistic,16,4000,cap_4000,7704,0.02994112046015429,lru,324.9332992586679,15.201557860054638,34.780448499077465,984.6917565875639,7.051483495160937,135.06130971814858,0.9240240181885311,0.07597598181146888,237756,19549,40997224448
optimistic,16,4000,cap_4000,7704,0.02994112046015429,opt,325.0673151885321,15.207827611159397,32.05822249583434,982.680149604422,6.676557495666202,36.48685136067798,0.9532150560618721,0.046784943938127904,245267,12038,25245515776
optimistic,16,4500,cap_4500,7704,0.030018469307439937,compulsory,,,,,,,,0.030018469307439937,,7704,
optimistic,16,4500,cap_4500,7704,0.030018469307439937,lru,325.005741471143,15.204946969410198,31.48855250037741,993.6581171375303,6.63569900643779,24.280814510129858,0.9653057566571333,0.034694243342866714,247738,8904,18673041408
optimistic,16,4500,cap_4500,7704,0.030018469307439937,opt,325.1309084988381,15.210802736787748,31.72895050374791,991.528080644349,6.635968005866744,22.630251706868872,0.9665604226899728,0.033439577310027196,248060,8582,17997758464
optimistic,16,5000,cap_5000,7704,0.030018469307439937,compulsory,,,,,,,,0.030018469307439937,,7704,
optimistic,16,5000,cap_5000,7704,0.030018469307439937,lru,324.91830480946334,15.20085636535501,33.077947999117896,990.7146657220447,6.638088008912746,27.02001410332754,0.9665604226899728,0.033439577310027196,248060,8582,17997758464
optimistic,16,5000,cap_5000,7704,0.030018469307439937,opt,325.182933806657,15.213236669317284,33.00966800452443,985.5169333079549,6.635996505792718,26.465025833167616,0.9665604226899728,0.033439577310027196,248060,8582,17997758464
optimistic,16,5500,cap_5500,7704,0.030018469307439937,compulsory,,,,,,,,0.030018469307439937,,7704,
optimistic,16,5500,cap_5500,7704,0.030018469307439937,lru,325.1048392543474,15.209583123010402,33.23522050050087,985.0125771696922,6.634078003116883,26.86841852962971,0.9665604226899728,0.033439577310027196,248060,8582,17997758464
optimistic,16,5500,cap_5500,7704,0.030018469307439937,opt,325.155608818147,15.211958307281733,33.93545400467701,990.7413726483367,6.653794000158086,28.18490469944663,0.9665604226899728,0.033439577310027196,248060,8582,17997758464
optimistic,16,6000,cap_6000,7704,0.030018469307439937,compulsory,,,,,,,,0.030018469307439937,,7704,
optimistic,16,6000,cap_6000,7704,0.030018469307439937,lru,325.13341414918654,15.210919960195861,32.735594497353304,988.6854740968568,6.642247506533749,26.506103935244035,0.9665604226899728,0.033439577310027196,248060,8582,17997758464
optimistic,16,6000,cap_6000,7704,0.030018469307439937,opt,325.038055776817,15.206458749792606,32.58603399444837,989.8721614496037,6.644763998338021,27.422997009125538,0.9665604226899728,0.033439577310027196,248060,8582,17997758464
