run_name,schedule_policy,request_rate,max_concurrency,memory_pressure_prompt_only,memory_pressure_full_request,throughput_lru,throughput_belady,median_ttft_ms_lru,median_ttft_ms_belady,p99_ttft_ms_lru,p99_ttft_ms_belady,median_itl_ms_lru,median_itl_ms_belady,p99_itl_ms_lru,p99_itl_ms_belady,cache_hit_rate_lru_server,cache_hit_rate_belady_server,block_hit_rate_lru,block_hit_rate_belady,block_miss_rate_lru,block_miss_rate_belady,transfer_proxy_bytes_lru,transfer_proxy_bytes_belady,frontier_diff_rate_lru_trace,selection_fallback_rate_belady_trace
policy-default__rr-16__mc-64,,16,64,1.1093333333333333,1.1946666666666668,88.44469255468539,92.81863492766078,7455.2334398031235,7146.252606064081,11060.446412563324,10346.777839511633,16.05452597141266,16.04832336306572,4418.355394154786,4060.0748833268685,,,0.7912289305091885,0.9012576044955287,0.3331726254360075,0.3176982612161,333325533184.0,317653516288.0,0.0,
policy-default__rr-16__mc-96,,16,96,1.664,1.792,88.89062470853312,92.88174798202246,12159.922175109386,11553.630266338587,16336.433172374964,15750.214866772294,15.960704535245895,16.007661819458008,4410.048854351044,4089.2337877303016,,,0.7912289305091885,0.9012576044955287,0.3331726254360075,0.3176982612161,333325533184.0,317653516288.0,0.0,
policy-default__rr-16__mc-128,,16,128,2.2186666666666666,2.3893333333333335,88.90556182965454,92.95049425615248,17005.10609894991,16165.199097245932,21825.731898844242,21050.693912506104,15.96846804022789,16.001861542463303,4402.624725177884,4087.6358948647626,,,0.7912289305091885,0.9012576044955287,0.3331726254360075,0.3176982612161,333325533184.0,317653516288.0,0.0,
policy-default__rr-16__mc-192,,16,192,3.328,3.584,88.85699727606666,92.85444623636559,26577.379439026117,25436.929289251566,31866.665555015203,30789.60518218577,15.98333939909935,15.984058380126953,4407.051668688655,4090.779830366361,,,0.7912289305091885,0.9012576044955287,0.3331726254360075,0.3176982612161,333325533184.0,317653516288.0,0.0,
policy-default__rr-16__mc-256,,16,256,4.437333333333333,4.778666666666667,88.90188419026043,92.87619803740208,35798.690397292376,34164.412681013346,41927.878887578845,39983.810486495495,15.985563397407532,16.02155715227127,4377.040202841163,4094.314216077394,,,0.7912289305091885,0.9012576044955287,0.3331726254360075,0.3176982612161,333325533184.0,317653516288.0,0.0,
