workload,page_size,mem_fraction,policy,output_throughput,median_ttft_ms,p99_ttft_ms,median_itl_ms,p99_itl_ms,critical_path_miss_rate,mean_missed_blocks_per_request,mean_missed_tokens_per_request,mean_ttft_ms,corr_missed_blocks_vs_ttft,corr_missed_tokens_vs_ttft
near_real,32,0.24,lru,404.6006740899584,177.18223319388926,454.66873936820775,9.424791671335697,43.095321469008915,0.4610874200426439,54.0625,1730.0,217.04047636012547,0.10894480350027512,0.10894480350027512
near_real,32,0.24,opt,402.9098111776066,174.87102909944952,456.6558904247358,9.454397018998861,42.92520418763161,0.4610874200426439,54.0625,1730.0,218.01224871887825,0.10372157142067151,0.10372157142067151
near_real,32,0.24,opt_bypass,380.6248470531071,200.36274218000472,511.92189655266696,9.480951819568872,42.92348494753241,0.4610874200426439,54.0625,1730.0,249.62877950747497,0.17609594196034645,0.17609594196034645
optimistic,32,0.24,lru,130.4246256088641,344.9945223983377,503.7369654979557,10.190543252974749,339.7285078465947,0.5107913669064749,71.0,2272.0,300.51098071271554,0.22790791146890185,0.22790791146890185
optimistic,32,0.24,opt,134.82007948454552,245.6070464104414,494.69646106008435,9.509461931884289,240.0745691685011,0.44779477947794777,62.1875,1990.0,256.29746573395096,0.3512527318293897,0.3512527318293897
optimistic,32,0.24,opt_bypass,134.75457522728868,293.0873504374176,503.52315756026655,9.812917560338974,409.908734112978,0.5107913669064749,71.0,2272.0,286.5710272162687,0.19600233154818386,0.19600233154818386
