workload,page_size,mem_fraction,policy,output_throughput,median_ttft_ms,p99_ttft_ms,median_itl_ms,p99_itl_ms,critical_path_miss_rate,mean_missed_blocks_per_request,mean_missed_tokens_per_request,mean_ttft_ms,corr_missed_blocks_vs_ttft,corr_missed_tokens_vs_ttft
near_real,32,0.2,lru,547.4326076744967,21147.422649199143,25414.634416815825,6.470462307333946,36.06127375737057,0.6383990185554362,86.72916666666667,2775.3333333333335,17561.478643920662,0.09021748564939683,0.09021748564939683
near_real,32,0.2,opt,547.8031136288134,21093.164039077237,25417.732285978276,6.472074892371893,43.88778931461272,0.6430045082906701,87.65625,2805.0,17543.6462914804,0.08154468635013915,0.08154468635013915
near_real,32,0.2,opt_bypass,547.2286192839703,21188.494669273496,25466.635509347543,6.469123996794224,33.849385520443306,0.6383990185554362,86.72916666666667,2775.3333333333335,17562.732847703348,0.09057514553848181,0.09057514553848181
near_real,32,0.28,lru,1266.971470337855,2601.971920579672,4784.778838241474,8.853041101247072,238.97928422316875,0.5580121009170821,76.375,2444.0,2275.1527237317837,0.2109736219608791,0.2109736219608791
near_real,32,0.28,opt,1258.6897535624485,2612.6201753504574,4866.894167037681,8.894086815416813,209.98800212517375,0.5693350499848531,78.30729166666667,2505.8333333333335,2273.2868524520504,0.22110704169655204,0.22110704169655204
near_real,32,0.28,opt_bypass,1258.1178851715347,2607.48219746165,4846.470406507142,8.862402057275176,207.81508984044186,0.5544787747501235,75.98958333333333,2431.6666666666665,2274.9332360811727,0.1903590146965381,0.1903590146965381
near_real,32,0.36,lru,1388.161282502831,219.5759736932814,758.0885962303728,9.734060382470489,283.8573646498844,0.43348898714822925,54.635416666666664,1748.3333333333333,277.31650401013513,0.029753289719053645,0.029753289719053645
near_real,32,0.36,opt,1420.6520237401774,202.3520260117948,783.7505981605502,9.71337966620922,259.38716579228634,0.4318753349548584,54.5625,1746.0,262.17025980198133,0.06890027821851773,0.06890027821851773
near_real,32,0.36,opt_bypass,1414.2717517507124,206.00475859828293,780.4085082840178,9.959840215742588,272.45841424912214,0.4318753349548584,54.5625,1746.0,271.3401613655151,0.05149017419904064,0.05149017419904064
optimistic,32,0.2,lru,167.3577686709206,970.8643713966012,1659.5183785399424,6.732382113113999,215.94927901402116,0.5592095338663449,77.22916666666667,2471.3333333333335,915.0063328440107,-0.0007585595506492596,-0.0007585595506492596
optimistic,32,0.2,opt,167.0286167335263,958.2430610898882,1652.8683792287484,6.7732688039541245,217.4518266320233,0.5776325181261505,80.08333333333333,2562.6666666666665,902.53336859314,0.04023849789416228,0.04023849789416228
optimistic,32,0.2,opt_bypass,167.25440931287366,1001.1569189373404,1694.7245382657275,6.803340744227171,211.55039323493838,0.5915735812279781,82.19791666666667,2630.3333333333335,950.012228024813,0.0414558564015228,0.0414558564015228
optimistic,32,0.28,lru,176.50503497095335,227.06181416288018,741.4380454132333,7.3799556121230125,652.9971616854891,0.379819334999039,51.463541666666664,1646.8333333333333,287.2989326012127,0.08797200942554888,0.08797200942554888
optimistic,32,0.28,opt,177.06794891607802,194.9367669876665,746.146527635865,7.238843943923712,604.9087763670832,0.36995507084981377,50.177083333333336,1605.6666666666667,282.0739241166545,0.10542464141590346,0.10542464141590346
optimistic,32,0.28,opt_bypass,176.24606899318982,197.84045941196382,736.1396949598567,7.285637781023979,601.1522746924311,0.37490879766522023,50.848958333333336,1627.1666666666667,283.4555801867585,0.1102063557797005,0.1102063557797005
optimistic,32,0.36,lru,176.3002482488987,216.67072153650224,731.7231874028222,7.495400030165911,696.8461440876071,0.36995507084981377,50.177083333333336,1605.6666666666667,288.0163681450843,0.09545353454469935,0.09545353454469935
optimistic,32,0.36,opt,177.09683857458512,184.8570927977562,720.3512404952199,7.313074776902795,612.1222102595493,0.36995507084981377,50.177083333333336,1605.6666666666667,275.0753248425705,0.10397583465713242,0.10397583465713242
optimistic,32,0.36,opt_bypass,177.00722020545376,182.7267853077501,740.37403549999,7.175812032073736,596.1956854350865,0.3649292742927429,49.447916666666664,1582.3333333333333,274.3981291084007,0.12464873640419541,0.12464873640419541
