workload,page_size,mem_fraction,policy,output_throughput,median_ttft_ms,p99_ttft_ms,median_itl_ms,p99_itl_ms,critical_path_miss_rate,mean_missed_blocks_per_request,mean_missed_tokens_per_request,mean_ttft_ms,corr_missed_blocks_vs_ttft,corr_missed_tokens_vs_ttft,baseline_mem_fraction,throughput_delta_vs_baseline,throughput_pct_gain_vs_baseline,median_ttft_delta_vs_baseline,median_ttft_pct_change_vs_baseline,median_itl_delta_vs_baseline,median_itl_pct_change_vs_baseline
near_real,32,0.2,lru,547.4326076744967,21147.422649199143,25414.634416815825,6.470462307333946,36.06127375737057,0.6383990185554362,86.72916666666667,2775.3333333333335,17561.478643920662,0.09021748564939683,0.09021748564939683,0.2,0.0,0.0,0.0,0.0,0.0,0.0
near_real,32,0.28,lru,1266.971470337855,2601.971920579672,4784.778838241474,8.853041101247072,238.97928422316875,0.5580121009170821,76.375,2444.0,2275.1527237317837,0.2109736219608791,0.2109736219608791,0.2,719.5388626633583,131.43880225183736,-18545.45072861947,-87.6960329221102,2.382578793913126,36.8223888919435
near_real,32,0.36,lru,1388.161282502831,219.5759736932814,758.0885962303728,9.734060382470489,283.8573646498844,0.43348898714822925,54.635416666666664,1748.3333333333333,277.31650401013513,0.029753289719053645,0.029753289719053645,0.2,840.7286748283343,153.57665273169687,-20927.84667550586,-98.96168919808487,3.2635980751365423,50.43840640934446
optimistic,32,0.2,lru,167.3577686709206,970.8643713966012,1659.5183785399424,6.732382113113999,215.94927901402116,0.5592095338663449,77.22916666666667,2471.3333333333335,915.0063328440107,-0.0007585595506492596,-0.0007585595506492596,0.2,0.0,0.0,0.0,0.0,0.0,0.0
optimistic,32,0.28,lru,176.50503497095335,227.06181416288018,741.4380454132333,7.3799556121230125,652.9971616854891,0.379819334999039,51.463541666666664,1646.8333333333333,287.2989326012127,0.08797200942554888,0.08797200942554888,0.2,9.147266300032754,5.465695660665286,-743.802557233721,-76.61240634093424,0.6475734990090132,9.618787052321428
optimistic,32,0.36,lru,176.3002482488987,216.67072153650224,731.7231874028222,7.495400030165911,696.8461440876071,0.36995507084981377,50.177083333333336,1605.6666666666667,288.0163681450843,0.09545353454469935,0.09545353454469935,0.2,8.942479577978105,5.343331026097693,-754.193649860099,-77.68269926057555,0.7630179170519114,11.333550357541792
