workload,page_size,queue_size_q,queue_size_numeric,total_reuse_events,visible_reuse_events,reuse_event_visibility_fraction,total_reuse_blocks,visible_reuse_blocks,reuse_block_visibility_fraction,total_next_reuses,visible_next_reuses,next_reuse_visibility_fraction
natural_tenant_rotation_gap,16,440,440,6252,5208,0.8330134357005758,1600512,1333248,0.8330134357005758,608,608,1.0
natural_tenant_rotation_gap,16,450,450,6252,5243,0.8386116442738324,1600512,1342208,0.8386116442738324,608,608,1.0
natural_tenant_rotation_gap,16,460,460,6252,5458,0.8730006397952655,1600512,1397248,0.8730006397952655,608,608,1.0
natural_tenant_rotation_gap,16,470,470,6252,5543,0.88659628918746,1600512,1419008,0.88659628918746,608,608,1.0
natural_tenant_rotation_gap,16,480,480,6252,5840,0.9341010876519513,1600512,1495040,0.9341010876519513,608,608,1.0
natural_tenant_rotation_gap,16,490,490,6252,5975,0.9556941778630839,1600512,1529600,0.9556941778630839,608,608,1.0
natural_tenant_rotation_gap,16,500,500,6252,6082,0.972808701215611,1600512,1556992,0.972808701215611,608,608,1.0
natural_tenant_rotation_gap,16,510,510,6252,6163,0.9857645553422905,1600512,1577728,0.9857645553422905,608,608,1.0
natural_tenant_rotation_gap,16,520,520,6252,6208,0.9929622520793346,1600512,1589248,0.9929622520793346,608,608,1.0
natural_tenant_rotation_gap,16,530,530,6252,6222,0.9952015355086372,1600512,1592832,0.9952015355086372,608,608,1.0
natural_tenant_rotation_gap,16,540,540,6252,6228,0.9961612284069098,1600512,1594368,0.9961612284069098,608,608,1.0
natural_tenant_rotation_gap,16,550,550,6252,6228,0.9961612284069098,1600512,1594368,0.9961612284069098,608,608,1.0
natural_tenant_rotation_gap,16,560,560,6252,6244,0.9987204094689699,1600512,1598464,0.9987204094689699,608,608,1.0
natural_tenant_rotation_gap,16,570,570,6252,6244,0.9987204094689699,1600512,1598464,0.9987204094689699,608,608,1.0
natural_tenant_rotation_gap,16,580,580,6252,6244,0.9987204094689699,1600512,1598464,0.9987204094689699,608,608,1.0
natural_tenant_rotation_gap,16,590,590,6252,6244,0.9987204094689699,1600512,1598464,0.9987204094689699,608,608,1.0
natural_tenant_rotation_gap,16,600,600,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,610,610,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,620,620,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,630,630,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,640,640,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,650,650,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,660,660,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,670,670,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,680,680,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,690,690,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,700,700,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,710,710,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,720,720,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,730,730,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,740,740,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,750,750,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,760,760,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,770,770,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,780,780,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,790,790,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,800,800,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_tenant_rotation_gap,16,full,640,6252,6252,1.0,1600512,1600512,1.0,608,608,1.0
natural_periodic_refinement_gap,16,1,1,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,10,10,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,20,20,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,30,30,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,40,40,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,50,50,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,60,60,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,70,70,540,0,0.0,138240,0,0.0,108,0,0.0
natural_periodic_refinement_gap,16,80,80,540,108,0.2,138240,27648,0.2,108,108,1.0
natural_periodic_refinement_gap,16,90,90,540,108,0.2,138240,27648,0.2,108,108,1.0
natural_periodic_refinement_gap,16,100,100,540,108,0.2,138240,27648,0.2,108,108,1.0
natural_periodic_refinement_gap,16,110,110,540,108,0.2,138240,27648,0.2,108,108,1.0
natural_periodic_refinement_gap,16,120,120,540,108,0.2,138240,27648,0.2,108,108,1.0
natural_periodic_refinement_gap,16,130,130,540,108,0.2,138240,27648,0.2,108,108,1.0
natural_periodic_refinement_gap,16,140,140,540,108,0.2,138240,27648,0.2,108,108,1.0
natural_periodic_refinement_gap,16,150,150,540,204,0.37777777777777777,138240,52224,0.37777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,160,160,540,204,0.37777777777777777,138240,52224,0.37777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,170,170,540,204,0.37777777777777777,138240,52224,0.37777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,180,180,540,204,0.37777777777777777,138240,52224,0.37777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,190,190,540,204,0.37777777777777777,138240,52224,0.37777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,200,200,540,204,0.37777777777777777,138240,52224,0.37777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,210,210,540,204,0.37777777777777777,138240,52224,0.37777777777777777,108,108,1.0
natural_periodic_refinement_gap,16,220,220,540,288,0.5333333333333333,138240,73728,0.5333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,230,230,540,288,0.5333333333333333,138240,73728,0.5333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,240,240,540,288,0.5333333333333333,138240,73728,0.5333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,250,250,540,288,0.5333333333333333,138240,73728,0.5333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,260,260,540,288,0.5333333333333333,138240,73728,0.5333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,270,270,540,288,0.5333333333333333,138240,73728,0.5333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,280,280,540,288,0.5333333333333333,138240,73728,0.5333333333333333,108,108,1.0
natural_periodic_refinement_gap,16,290,290,540,360,0.6666666666666666,138240,92160,0.6666666666666666,108,108,1.0
natural_periodic_refinement_gap,16,300,300,540,360,0.6666666666666666,138240,92160,0.6666666666666666,108,108,1.0
natural_periodic_refinement_gap,16,310,310,540,360,0.6666666666666666,138240,92160,0.6666666666666666,108,108,1.0
natural_periodic_refinement_gap,16,320,320,540,360,0.6666666666666666,138240,92160,0.6666666666666666,108,108,1.0
natural_periodic_refinement_gap,16,330,330,540,360,0.6666666666666666,138240,92160,0.6666666666666666,108,108,1.0
natural_periodic_refinement_gap,16,340,340,540,360,0.6666666666666666,138240,92160,0.6666666666666666,108,108,1.0
natural_periodic_refinement_gap,16,350,350,540,360,0.6666666666666666,138240,92160,0.6666666666666666,108,108,1.0
natural_periodic_refinement_gap,16,360,360,540,420,0.7777777777777778,138240,107520,0.7777777777777778,108,108,1.0
