workload,page_size,row_index,target_recompute_blocks,prompt_len,cold_median_ttft_ms,warm_median_ttft_ms,delta_median_ttft_ms,cold_output_throughput,warm_output_throughput,delta_output_throughput,has_target_recompute_blocks
near_real,32,0,,26276,79.99261189252138,67.58462591096759,12.407985981553793,93.71095322580157,98.86985777842152,5.158904552619944,False
near_real,32,1,,20448,103.81764685735106,122.88226606324315,-19.064619205892086,85.32176372082037,110.58059126964692,25.258827548826545,False
optimistic,32,0,1,4256,53.844894748181105,60.26286585256457,-6.417971104383469,78.0044161672286,77.15120013931751,-0.8532160279110883,True
optimistic,32,1,2,4288,67.24682729691267,37.22644690424204,30.02038039267063,71.38704802155102,86.64630620397588,15.259258182424858,True
